Date,dailyCatch,dailyCPUE,cumCPUE,year
2017-05-29,0,0,0,2017
2017-05-30,0,0,0,2017
2017-05-31,0,0,0,2017
2017-06-01,2,0.08,0.08,2017
2017-06-02,1,0.04,0.13,2017
2017-06-03,2,0.08,0.21,2017
2017-06-04,5,0.21,0.42,2017
2017-06-05,9,0.38,0.79,2017
2017-06-06,19,0.59,1.39,2017
2017-06-07,19,0.4,1.78,2017
2017-06-08,6,0.13,1.91,2017
2017-06-09,31,0.67,2.58,2017
2017-06-10,54,0.75,3.33,2017
2017-06-11,43,0.9,4.23,2017
2017-06-12,75,1.56,5.79,2017
2017-06-13,62,1.29,7.08,2017
2017-06-14,48,1,8.08,2017
2017-06-15,14,0.39,8.47,2017
2017-06-16,54,1.13,9.59,2017
2017-06-17,65,1.35,10.95,2017
2017-06-18,70,1.46,12.41,2017
2017-06-19,56,1.17,13.57,2017
2017-06-20,55,1.15,14.72,2017
2017-06-21,56,1.17,15.89,2017
2017-06-22,39,0.81,16.7,2017
2017-06-23,32,0.67,17.36,2017
2017-06-24,70,1.46,18.82,2017
2017-06-25,59,1.23,20.05,2017
2017-06-26,40,0.83,20.89,2017
2017-06-27,61,1.27,22.16,2017
2017-06-28,31,0.86,23.02,2017
2017-06-29,29,1.21,24.26,2017
2017-06-30,12,0.5,24.73,2017
2017-07-01,7,0.29,25.02,2017
2017-07-02,16,0.67,25.68,2017
2017-07-03,2,0,25.77,2017
2017-07-04,7,0.29,26.06,2017
2017-07-05,6,0.25,26.31,2017
2017-07-06,9,0.38,26.68,2017
2017-07-07,9,0.38,27.06,2017
2017-07-08,4,0.17,27.23,2017
2017-07-09,4,0.17,27.39,2017
2017-07-10,8,0.33,27.73,2017
2017-07-11,3,0.13,27.85,2017
2017-07-12,1,0.04,27.89,2017
2017-07-13,0,0,27.89,2017
